2000,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,Philadelphia,Pennsylvania,,,To establish a permanent endowment in support of one Senior Conservatorship and three post-graduate conservation fellowships and to support publication and presentation projects directly related to conservation,2625000
2000,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,Philadelphia,Pennsylvania,,,To improve scholarly access to unique archival documents,750000
2000,MUSEUMS AND ART CONSERVATION,Seattle Art Museum,Seattle,Washington,,,To establish a permanent endowment in support of the Conservation Department and to support the position of Chief Conservator,1750000
2000,MUSEUMS AND ART CONSERVATION,University of Chicago,Chicago,Illinois,,,To establish a permanent endowment to strengthen the educational role of the museum's collections and programs,500000,private
2000,MUSEUMS AND ART CONSERVATION,University of Delaware,Newark,Delaware,,,To establish a permanent endowment in support of graduate conservation fellowships and to facilitate curriculum development,1300000,public
2000,MUSEUMS AND ART CONSERVATION,University of Delaware,Newark,Delaware,,,To support additional expenses associated with a collaborative workshop in photograph conservation,25500,public
2000,PERFORMING ARTS,"Alabama Shakespeare Festival, Inc.",Montgomery,Alabama,,,To support the Southern Writers' Project,250000
2000,PERFORMING ARTS,Alliance of Resident Theatres,New York,New York,,,To expand its revolving loan program for New York nonprofit theaters and to strengthen institutional performance,1000000
2000,PERFORMING ARTS,American Conservatory Theatre Foundation,San Francisco,California,,,To support artistic initiatives,300000
2000,PERFORMING ARTS,"American Music Center, Inc.",New York,New York,,,For use as matching endowment and to support information programs and services to the field,2500000
2000,PERFORMING ARTS,"Ballet Theatre Foundation, Inc.",New York,New York,,,To support design and production costs of The Pied Piper of Hamelin,50000
2000,PERFORMING ARTS,"Baltimore Symphony Orchestra, Inc.",Baltimore,Maryland,,,To strengthen artistic and administrative performance,800000
2000,PERFORMING ARTS,Boston Modern Orchestra Project Inc.,Boston,Massachusetts,,,To strengthen administrative capacity,50000
2000,PERFORMING ARTS,"Boston Symphony Orchestra, Inc.",Boston,Massachusetts,,,To support the Tanglewood Music Center's Interarts Initiative,50000
2000,PERFORMING ARTS,"Brooklyn Philharmonic Symphony Orchestra, Inc.",Brooklyn,New York,,,To support its strategic planning process,50000
2000,PERFORMING ARTS,"Center Stage Associates, Inc.",Baltimore,Maryland,,,To support artistic initiatives and the associate artist program,225000
2000,PERFORMING ARTS,Center Theatre Group of Los Angeles,Los Angeles,California,,,To support new play development and resident artist programs,275000
2000,PERFORMING ARTS,Chicago Symphony Orchestra,Chicago,Illinois,,,To support its Musician Residency Program,600000
2000,PERFORMING ARTS,Conductors' Retreat at Medomak,Ann Arbor,Michigan,,,To support artistic initiatives and strengthen administrative capacity,44000
2000,PERFORMING ARTS,"Connecticut Players Foundation, Inc.",New Haven,Connecticut,,,To support its Playwrights Program,225000
2000,PERFORMING ARTS,"Cornerstone Theater Company, Inc.",Los Angeles,California,,,To support its strategic planning process,10000
2000,PERFORMING ARTS,"Dance Works, Inc.",New York,New York,,,To support the Pentacle Help Desk,15000
2000,PERFORMING ARTS,"Eugene O'Neill Memorial Theater Center, Inc.",New York,New York,,,To support the National Playwrights Conference,50000
2000,PERFORMING ARTS,Grantmakers in the Arts,Seattle,Washington,,,"To support research, publications, and information services",10000
2000,PERFORMING ARTS,Guthrie Theatre Foundation,Minneapolis,Minnesota,,,To support its Company Development Program,250000
2000,PERFORMING ARTS,Intiman Theatre,Seattle,Washington,,,To support artistic initiatives,150000
2000,PERFORMING ARTS,"Jacob's Pillow Dance Festival, Inc.",Lee,Massachusetts,,,To support planning for its media residency program for choreographers,50000
2000,PERFORMING ARTS,Louisiana Philharmonic Orchestra,New Orleans,Louisiana,,,To strengthen artistic and administrative performance,800000
2000,PERFORMING ARTS,Lyric Opera of Chicago,Chicago,Illinois,,,To support productions of American operas,1200000
2000,PERFORMING ARTS,"Marlboro School of Music, Inc.",Philadelphia,Pennsylvania,,,For use as endowment,750000
2000,PERFORMING ARTS,McCarter Theatre Company,Princeton,New Jersey,,,To support new play development,225000
2000,PERFORMING ARTS,Musical Arts Association,Cleveland,Ohio,,,To strengthen artistic and administrative performance,600000
2000,PERFORMING ARTS,National Guild of Community Schools,Englewood,New Jersey,,,To support partnership programs between orchestras and community music schools,50000
2000,PERFORMING ARTS,New Jersey Performing Arts Center Corporation,Newark,New Jersey,,,To support costs of its Community Subsidy Program,40000
2000,PERFORMING ARTS,New Mexico Symphony Orchestra,Albuquerque,New Mexico,,,To strengthen artistic and administrative performance,600000
2000,PERFORMING ARTS,New World Symphony Inc.,Miami Beach,Florida,,,To support musician training and artistic activities,50000
2000,PERFORMING ARTS,"New York Theatre Workshop, Inc.",New York,New York,,,To support artistic initiatives,225000
2000,PERFORMING ARTS,"Opera America, Inc.",Washington,DC,,,For use as matching endowment,2200000
2000,PERFORMING ARTS,Philadelphia Orchestra Association,Philadelphia,Pennsylvania,,,To support its strategic planning process,50000
2000,PERFORMING ARTS,Pittsburgh Symphony Society,Pittsburgh,Pennsylvania,,,To strengthen artistic and administrative performance,200000
2000,PERFORMING ARTS,"Playwright's Horizons, Inc.",New York,New York,,,To support new play development,225000
2000,PERFORMING ARTS,Richmond Symphony,Richmond,Virginia,,,To strengthen artistic and administrative performance,700000
2000,PERFORMING ARTS,Saint Paul Chamber Orchestra Society,Saint Paul,Minnesota,,,To strengthen artistic and administrative performance,200000
2000,PERFORMING ARTS,San Francisco Symphony,San Francisco,California,,,To strengthen artistic and administrative performance,200000
2000,PERFORMING ARTS,Saratoga International Theater Institute Inc.,New York,New York,,,To support costs of set construction for War of the Worlds,45000
2000,PERFORMING ARTS,"Seattle Symphony Orchestra, Inc.",Seattle,Washington,,,To strengthen artistic and administrative performance,700000
2000,PERFORMING ARTS,Shakespeare Theatre,Washington,DC,,,To support artistic initiatives,275000
2000,PERFORMING ARTS,"Spanish Theatre Repertory Company, Ltd.",New York,New York,,,To support artistic initiatives,225000
2000,PERFORMING ARTS,"St. Lukes Chamber Ensemble, Inc.",New York,New York,,,To strengthen artistic and administrative performance,600000
2000,PERFORMING ARTS,Sundance Institute,Salt Lake City,Utah,,,To support the Sundance Theatre Laboratory,450000
2000,PERFORMING ARTS,"Theatre Communications Group, Inc.",New York,New York,,,To establish the New Generations Mentorship Program,2000000
2000,PERFORMING ARTS,Theatre de la Jeune Lune,Minneapolis,Minnesota,,,To support artistic and administrative development,150000
2000,PERFORMING ARTS,Theatre for a New Audience Inc.,New York,New York,,,To support administrative development and the American Directors Project,225000
2000,PERFORMING ARTS,Theatre for a New Audience Inc.,New York,New York,,,To support market research and planning,32000
2000,PERFORMING ARTS,Trinity Repertory Company,Providence,Rhode Island,,,To support new play development and resident artist programs,225000
2000,PERFORMING ARTS,Virginia Polytechnic Institute and State University,Blacksburg,Virginia,,,To support the Orchestra Exchange Program,50000,public
2000,PERFORMING ARTS,Yale University,New Haven,Connecticut,,,To support Yale Repertory Theatre's Associate Artist Program,150000,ivy
2000,HIGHER EDUCATION AND SCHOLARSHIP                                                                    ,Academia Istropolitana Nova,Sväty Jur,,,Slovakia,"To support a program in public administration, library improvements, and general management",350000
