year,category,recipient,location,grant_description,award_amt
2008,CONSERVATION AND THE ENVIRONMENT,"Ithaka Harbors, Inc.","New York, New York","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","260,000"
2008,CONSERVATION AND THE ENVIRONMENT,Legal Personality of the National Botanic,"Meise, Belgium","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","229,000"
2008,CONSERVATION AND THE ENVIRONMENT,Martin Luther University Halle-Wittenberg,"Halle, Germany","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","134,000"
2008,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri",To support a visiting fellows program for Latin American scholars,"150,000"
2008,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","130,000"
2008,CONSERVATION AND THE ENVIRONMENT,Missouri Botanical Garden,"St. Louis, Missouri","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","50,000"
2008,CONSERVATION AND THE ENVIRONMENT,Museo Nacional de Historia Natural,"Santiago, Chile","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","63,000"
2008,CONSERVATION AND THE ENVIRONMENT,Museo Nacional de Historia Natural y Antropología,"Montevideo, Uruguay","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","18,000"
2008,CONSERVATION AND THE ENVIRONMENT,Museum national d'Histoire naturelle,"Paris, France","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","596,000"
2008,CONSERVATION AND THE ENVIRONMENT,Museum national d'Histoire naturelle,"Paris, France","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","65,000"
2008,CONSERVATION AND THE ENVIRONMENT,The Natural History Museum,"London, United Kingdom","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","375,000"
2008,CONSERVATION AND THE ENVIRONMENT,The Natural History Museum,"London, United Kingdom","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","68,000"
2008,CONSERVATION AND THE ENVIRONMENT,Naturhistorisches Museum Wien,"Vienna, Austria","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","428,000"
2008,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,"Bronx, New York","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","363,000"
2008,CONSERVATION AND THE ENVIRONMENT,New York Botanical Garden,"Bronx, New York",To support the purchase and distribution of color standards for the Plants Initiative,"11,600"
2008,CONSERVATION AND THE ENVIRONMENT,Princeton University,"Princeton, New Jersey",To support a program of ecological research and training in collaboration with the University of Cape Town and South African National Parks,"295,000"
2008,CONSERVATION AND THE ENVIRONMENT,Princeton University,"Princeton, New Jersey",To support a program of ecological research and training in collaboration with the University of Cape Town and South African National Parks,"285,000"
2008,CONSERVATION AND THE ENVIRONMENT,Rancho Santa Ana Botanic Garden,"Claremont, California","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","89,000"
2008,CONSERVATION AND THE ENVIRONMENT,The Royal Botanic Garden Edinburgh,"Edinburgh, United Kingdom","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","259,000"
2008,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","926,000"
2008,CONSERVATION AND THE ENVIRONMENT,"Royal Botanic Gardens, Kew","Richmond, United Kingdom","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","343,000"
2008,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","429,000"
2008,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC","To continue the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","321,000"
2008,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","91,000"
2008,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC",To support four small Central American herbaria in joining the Latin American Plants Initiative,"35,000"
2008,CONSERVATION AND THE ENVIRONMENT,Smithsonian Institution,"Washington, DC","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","33,000"
2008,CONSERVATION AND THE ENVIRONMENT,South African National Biodiversity Institute,"Pretoria, South Africa",To support meetings of African Plants Initiative partners in South Africa and Madagascar,"237,000"
2008,CONSERVATION AND THE ENVIRONMENT,South African National Biodiversity Institute,"Pretoria, South Africa",To support the coordination of meetings related to the African Plants Initiative,"31,000"
2008,CONSERVATION AND THE ENVIRONMENT,South African National Parks,"Pretoria, South Africa",To support a program of ecological research and training,"286,000"
2008,CONSERVATION AND THE ENVIRONMENT,Swedish Museum of Natural History,"Stockholm, Sweden","To continue support of the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","340,000"
2008,CONSERVATION AND THE ENVIRONMENT,UNAM Foundation,"San Antonio, Texas","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","72,000"
2008,CONSERVATION AND THE ENVIRONMENT,Universidad Nacional de Colombia,"Bogotá, Colombia","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","50,000"
2008,CONSERVATION AND THE ENVIRONMENT,Université Montpellier II,"Montpellier, France","To continue support of the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","123,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Alaska at Anchorage,"Anchorage, Alaska",To support an ecological research and training program led by a junior faculty scientist,"239,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of California at Berkeley,"Berkeley, California","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","110,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of California at Davis,"Davis, California",To support an ecological research and training program led by a junior faculty scientist,"290,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Cape Town,"Cape Town, South Africa",To support a program of ecological research and training,"165,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Cape Town,"Cape Town, South Africa",To support visiting scientists at the University of Cape Town to strengthen research bridges between South Africa and foreign universities,"12,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Colorado at Boulder,"Boulder, Colorado",To support a program of ecological research and training,"294,000"
2008,CONSERVATION AND THE ENVIRONMENT,"University of Dublin, Trinity College","Dublin, Ireland","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","244,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Graz,"Graz, Austria","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","54,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Hamburg,"Hamburg, Germany","To continue support of the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","134,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Michigan,"Ann Arbor, Michigan","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","152,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Minnesota at Twin Cities,"Minneapolis, Minnesota",To support an ecological research and training program led by a junior faculty scientist,"278,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Montana,"Missoula, Montana",To support ecological research and training program led by a junior faculty scientist,"296,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Texas at Austin,"Austin, Texas","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","49,000"
2008,CONSERVATION AND THE ENVIRONMENT,University of Wisconsin at Madison,"Madison, Wisconsin","To support the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","67,000"
2008,CONSERVATION AND THE ENVIRONMENT,"Wageningen University, Department of Plant Sciences","Wageningen, Netherlands","To continue support of the development of a coordinated digital database of images and information on plants of Africa, Latin America, and other areas","518,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,Amherst College,"Amherst, Massachusetts",To strengthen the academic role of the Mead Art Museum's collections and programs,"500,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,The Art Institute of Chicago,"Chicago, Illinois",To establish an endowment for the position of associate scientist in the Department of Conservation; and to sustain essential elements of the collaboration with Northwestern University,"2,000,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,Barnes Foundation,"Merion, Pennsylvania","To continue support of assessment, research, and preservation of the permanent collection","525,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,Courtauld Institute of Art,"London, United Kingdom",To continue support for a pilot project for conservation and art historical documentation in digital form,"48,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,The Denver Art Museum,"Denver, Colorado",To establish an endowment for the position of paintings conservator and to support essential equipment purchases,"1,750,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,Duke University,"Durham, North Carolina",To strengthen the academic role of the Nasher Museum of Art's collections and programs,"500,000"
2008,MUSEUMS AND ART CONSERVATION                                                                 ,Emory University,"Atlanta, Georgia",To support a planning process for the development of curricula to strengthen the academic role of the Michael C. Carlos Museum,"9,000"
2008,MUSEUMS AND ART CONSERVATION,Florida International University,"Miami, Florida",To strengthen the academic role of The Wolfsonian's collections and programs,"500,000"
2008,MUSEUMS AND ART CONSERVATION,Foundation of the American Institute for,"Washington, DC",To establish an endowment for mid-career workshops in photograph conservation,"1,000,000"
2008,MUSEUMS AND ART CONSERVATION,George Eastman House,"Rochester, New York",To establish a wasting endowment for the Center for the Legacy of Photography,"2,000,000"
2008,MUSEUMS AND ART CONSERVATION,Indiana University,"Bloomington, Indiana",To strengthen the academic role of the Indiana University Museum of Art's collections and programs,"500,000"
2008,MUSEUMS AND ART CONSERVATION,"Indianapolis Museum of Art, Inc.","Indianapolis, Indiana",To establish an endowment for the position of scientist in the Department of Conservation,"1,750,000"
2008,MUSEUMS AND ART CONSERVATION,Kansas University Endowment Association,"Lawrence, Kansas",To increase the endowment established in,2000
2008,MUSEUMS AND ART CONSERVATION,Kansas University Endowment Association,"Lawrence, Kansas",for strengthening the academic role of the Spencer Museum of Art's collections and programs,"1,200,000"
2008,MUSEUMS AND ART CONSERVATION,Metropolitan Museum of Art,"New York, New York",To endow the program of postdoctoral Andrew W. Mellon Curatorial Fellowships; and to increase the Museum's permanent endowment for existing curatorial and conservation fellowships,"5,000,000"
2008,MUSEUMS AND ART CONSERVATION,Mount Holyoke College,"South Hadley, Massachusetts",To strengthen the academic role of the Mount Holyoke College Art Museum's collections and programs,"500,000"
2008,MUSEUMS AND ART CONSERVATION,Museum Associates,"Los Angeles, California",To support two three-year postdoctoral research fellowships in science at the Los Angeles County Museum of Art,"500,000"
2008,MUSEUMS AND ART CONSERVATION,Oberlin College,"Oberlin, Ohio",To establish an endowment to strengthen the academic role of the Allen Memorial Art Museum's collections and programs,"1,250,000"
2008,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,"Philadelphia, Pennsylvania",To support the processing of the Anne d'Harnoncourt Archives,"150,000"
2008,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,"Philadelphia, Pennsylvania","To support structural improvements to the Museum's conservation database software, Conservation Tracker","50,000"
2008,MUSEUMS AND ART CONSERVATION,Philadelphia Museum of Art,"Philadelphia, Pennsylvania","To complete construction and documentation of the Museum's conservation database software, Conservation Tracker","22,500"
2008,MUSEUMS AND ART CONSERVATION,Rhode Island School of Design,"Providence, Rhode Island",To increase the endowment established in,2002
2008,MUSEUMS AND ART CONSERVATION,Rhode Island School of Design,"Providence, Rhode Island",for strengthening the academic role of the Museum of Art's collections and programs,"1,000,000"
2008,MUSEUMS AND ART CONSERVATION,Smith College,"Northampton, Massachusetts",To increase the endowment established in,1997
2008,MUSEUMS AND ART CONSERVATION,Smith College,"Northampton, Massachusetts",for strengthening the academic role of the Smith College Museum of Art's collections and programs,"1,215,000"
2008,MUSEUMS AND ART CONSERVATION,Stichting tot Exploitatie van het Rijksbureau voor,"Den Haag, Netherlands",To continue support for a pilot project for conservation and art historical documentation in digital form,"297,000"
2008,MUSEUMS AND ART CONSERVATION,University of California at Los Angeles,"Los Angeles, California",To support professional development for fellows in the UCLA/Getty Archaeological and Ethnographic Conservation Program,"6,000"
2008,MUSEUMS AND ART CONSERVATION,University of Chicago,"Chicago, Illinois",To increase the endowment established in,2000
2008,MUSEUMS AND ART CONSERVATION,University of Chicago,"Chicago, Illinois",for strengthening the academic role of the Smart Museum of Art's collections and programs,"1,250,000"
2008,MUSEUMS AND ART CONSERVATION,University of Chicago,"Chicago, Illinois",To support a meeting of academic coordinators of the Mellon College and University Art Museum program,"10,000"
2008,MUSEUMS AND ART CONSERVATION,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",To establish an endowment to strengthen the academic role of the Ackland Art Museum's collections and programs,"1,250,000"
2008,MUSEUMS AND ART CONSERVATION,University of Pennsylvania,"Philadelphia, Pennsylvania",To create and support the position of associate deputy director at the University of Pennsylvania Museum of Archaeology and Anthropology,"545,000"
2008,MUSEUMS AND ART CONSERVATION,University of Warwick,"Coventry, United Kingdom",To support a planning meeting for a study of Venetian Renaissance Bronzes,"6,800"
2008,MUSEUMS AND ART CONSERVATION,Vassar College,"Poughkeepsie, New York",To establish an endowment to strengthen the academic role of the Francis Lehman Loeb Art Center's collections and programs,"1,200,000"
2008,MUSEUMS AND ART CONSERVATION,"Walters Art Gallery Endowment Foundation, Inc.","Baltimore, Maryland",To endow the program of postdoctoral Andrew W. Mellon Curatorial Fellowships,"2,060,000"
2008,MUSEUMS AND ART CONSERVATION,Williams College,"Williamstown, Massachusetts",To increase the endowment established in,1997
2008,MUSEUMS AND ART CONSERVATION,Williams College,"Williamstown, Massachusetts",for strengthening the academic role of the Museum's collections and programs,"1,270,000"
2008,MUSEUMS AND ART CONSERVATION,Yale University,"New Haven, Connecticut",To develop an experimental program in which works of art from Yale's collections would be loaned to six college art museums,"56,000"
2008,PERFORMING ARTS,"Albany Symphony Orchestra, Inc.","Albany, New York",To support a commissioning and composer partnership program,"300,000"
2008,PERFORMING ARTS,American Conservatory Theatre Foundation,"San Francisco, California",To support meetings of the artistic and executive leaders of a consortium of theaters collaborating on the creation and touring of new large-scale theater works,"8,800"
2008,PERFORMING ARTS,"American Dance Festival, Inc.","Durham, North Carolina",To support dance reconstructions and organizational development,"250,000"
2008,PERFORMING ARTS,"American Music Center, Inc.","New York, New York",To support the establishment of an endowment for the Live Music for Dance program,"1,000,000"
2008,PERFORMING ARTS,"American Music Center, Inc.","New York, New York","To support planning for an annual festival of concerts by North American orchestras, Spring for Music, at Carnegie Hall","50,000"
2008,PERFORMING ARTS,"American Repertory Theatre Company, Inc.","Cambridge, Massachusetts",To support the world premiere production of Cardenio,"50,000"
2008,PERFORMING ARTS,American Symphony Orchestra League,"New York, New York","To support the upgrading and modernization of statistical data collection systems, and research into orchestra pension plans and audience development","500,000"
2008,PERFORMING ARTS,"Appalshop, Inc.","Whitesburg, Kentucky",To support artistic initiatives and organizational development,"1,000,000"
2008,PERFORMING ARTS,"Appalshop, Inc.","Whitesburg, Kentucky",To support archive development,"800,000"
2008,PERFORMING ARTS,Association of Performing Arts Presenters Inc.,"Washington, DC",To support the Under the Radar Festival and Symposium,"240,000"
2008,PERFORMING ARTS,Association of Performing Arts Presenters Inc.,"Washington, DC",To support an international travel subsidy program for the presenting field,"50,000"
2008,PERFORMING ARTS,Ballet Memphis Corporation,"Memphis, Tennessee",To support research and planning,"26,000"
2008,PERFORMING ARTS,"Bang on a Can, Inc.","Brooklyn, New York",To support the Summer Institute of Music at the Massachusetts Museum of Contemporary Art,"90,000"
2008,PERFORMING ARTS,"The Vivian Beaumont Theater, Inc.","New York, New York","To support the LCT3 play series, new plays being produced in a third, off-site venue","1,000,000"
2008,PERFORMING ARTS,"Black Women Playwrights' Group, Inc.","Washington, DC",To support a national meeting of African-American women playwrights,"15,000"
2008,PERFORMING ARTS,"Boston Modern Orchestra Project, Inc.","Roslindale, Massachusetts",To support organizational development for the record label BMOP/sound,"300,000"
2008,PERFORMING ARTS,"Boston Symphony Orchestra, Inc.","Boston, Massachusetts",To support new media strategies,"1,000,000"
2008,PERFORMING ARTS,"Brooklyn Philharmonic Symphony Orchestra, Inc.","Brooklyn, New York",To support organizational development,"50,000"
2008,PERFORMING ARTS,"Chamber Music America, Inc.","New York, New York",To support a commissioning program,"600,000"
2008,PERFORMING ARTS,"Dance Heritage Coalition, Inc.","Washington, DC",To support services to the field and the Secure Media Network,"700,000"
2008,PERFORMING ARTS,"Dance New Amsterdam, Inc.","New York, New York",To support organizational development,"75,000"
2008,PERFORMING ARTS,"Dance Theater Workshop, Inc.","New York, New York",To support organizational development,"300,000"
2008,PERFORMING ARTS,Dance/USA,"Washington, DC","To support a research associate, membership capacity-building, and Dance/NYC","150,000"
2008,PERFORMING ARTS,"Danspace Project, Inc.","New York, New York","To support commissioning, organizational planning, and new artistic programs","150,000"
2008,PERFORMING ARTS,"Detroit Symphony Orchestra, Inc.","Detroit, Michigan",To support artistic initiatives and organizational development,"900,000"
2008,PERFORMING ARTS,"Foundation for Dance Promotion, Inc.","New York, New York",To support a book documenting and celebrating the 25-year history of the Bill T. Jones/Arnie Zane Dance Company,"25,000"
2008,PERFORMING ARTS,"Fund for the City of New York, Inc.","New York, New York",To support a revolving loan fund for performing arts institutions,"3,000,000"
2008,PERFORMING ARTS,"Houston Grand Opera Association, Inc.","Houston, Texas",To support a commissioning program,"800,000"
2008,PERFORMING ARTS,"Jacob's Pillow Dance Festival, Inc.","Becket, Massachusetts",To support artistic initiatives and organizational development,"200,000"
2008,PERFORMING ARTS,"Jazz at Lincoln Center, Inc.","New York, New York",To support artistic initiatives,"1,000,000"
2008,PERFORMING ARTS,"Joyce Theater Foundation, Inc.","New York, New York",To support Joyce Soho,"100,000"
2008,PERFORMING ARTS,"Lark Theatre Company, Inc.","New York, New York",To support a consortia of theaters that would collaborate with the Lark on the planning and realization of new plays,"500,000"
2008,PERFORMING ARTS,Los Angeles Philharmonic Association,"Los Angeles, California",To support a convening of orchestra executives who are planning the implementation of programs modeled on El Sistema,"15,000"
2008,PERFORMING ARTS,"Manhattan Theatre Club, Inc.","New York, New York",To support a revolving working capital fund,"1,000,000"
2008,PERFORMING ARTS,"Margaret Jenkins Dance Studio, Inc.","San Francisco, California",To support planning related to the possible expansion of the Choreographers in Mentorship Exchange program,"50,000"
2008,PERFORMING ARTS,"Meet the Composer, Inc.","New York, New York","To support the composer residency program, Music Alive","1,250,000"
2008,PERFORMING ARTS,"Meet the Composer, Inc.","New York, New York","To endow the commissioning program, Fund for Musical Creativity","1,250,000"
2008,PERFORMING ARTS,"Metropolitan Opera Association, Inc.","New York, New York",To support transmissions of the Live in HD series and PBS telecasts,"4,750,000"
2008,PERFORMING ARTS,"Mid Atlantic Arts Foundation, Inc.","Baltimore, Maryland",To support the continuation and expansion of the USArtists International travel grant program for US performance ensembles,"500,000"
2008,PERFORMING ARTS,The Minnesota Opera,"Minneapolis, Minnesota","To support Minnesota OperaWorks, a contemporary opera initiative","500,000"
2008,PERFORMING ARTS,Musical Arts Association,"Cleveland, Ohio",To support planning and implementation of a new revenue management structure and changes to a subscription based business model,"50,000"
2008,PERFORMING ARTS,"New Dramatists, Inc.","New York, New York",To support the Creativity Fund and the Full Stage production program,"675,000"
2008,PERFORMING ARTS,"New England Foundation for the Arts, Inc.","Boston, Massachusetts",To support the National Dance Project and related planning,"1,500,000"
2008,PERFORMING ARTS,"New England Foundation for the Arts, Inc.","Boston, Massachusetts",To support the Center for Creative Research,"325,000"
2008,PERFORMING ARTS,New World Symphony Inc.,"Miami Beach, Florida",To support planning for the commissioning of works combining music and projected images,"50,000"
2008,PERFORMING ARTS,"New York City Opera, Inc.","New York, New York",To support artistic initiatives,"2,500,000"
2008,PERFORMING ARTS,New York Shakespeare Festival,"New York, New York",To support a Master Writer's Chair in partnership with New York University,"600,000"
2008,PERFORMING ARTS,On the Boards,"Seattle, Washington",To support innovative choreographers and build audiences for contemporary dance,"50,000"
2008,PERFORMING ARTS,"Opera America, Inc.","New York, New York",To support planning for a national opera center,"50,000"
2008,PERFORMING ARTS,Pacific Symphony,"Santa Ana, California",To support artistic initiatives and organizational development,"500,000"
2008,PERFORMING ARTS,The Pew Charitable Trusts,"Philadelphia, Pennsylvania",To support the Cultural Data Project,"250,000"
2008,PERFORMING ARTS,"The Philharmonic-Symphony Society of New York, Inc.","New York, New York",To support new media strategies and artistic initiatives,"1,000,000"
2008,PERFORMING ARTS,"Playwrights' Center, Inc.","Minneapolis, Minnesota",To support the Core Writers' Lab and initiatives to promote writers' work to producing theaters,"1,000,000"
2008,PERFORMING ARTS,"Playwrights Horizons, Inc.","New York, New York",To support the development and production of new musical theater works in partnership with regional theaters,"2,000,000"
2008,PERFORMING ARTS,"Roundabout Theatre Company, Inc.","New York, New York",To support a production fund,"1,000,000"
2008,PERFORMING ARTS,"Roundabout Theatre Company, Inc.","New York, New York",To support planning costs and business analysis to be conducted by the Nonprofit Finance Fund,"20,000"
2008,PERFORMING ARTS,San Francisco Opera Association,"San Francisco, California",To support artistic initiatives,"1,000,000"
2008,PERFORMING ARTS,"7 Stages, Inc.","Atlanta, Georgia",To support a new translation and development/ residency program for a Bernard-Marie Koltès play in collaboration with Emory University,"31,615"
2008,PERFORMING ARTS,"Signature Theatre Company, Inc.","New York, New York","To support the Signature Ticket Initiative, the historic Negro Ensemble Company Season, and other ambitious productions","1,250,000"
2008,PERFORMING ARTS,Steppenwolf Theatre Company,"Chicago, Illinois",To support the expansion of the First Look program,"600,000"
2008,PERFORMING ARTS,Sundance Institute,"Park City, Utah",To support the expansion of Theater Institute programs,"600,000"
2008,PERFORMING ARTS,"Theatre Communications Group, Inc.","New York, New York",To support round nine of the New Generations Program,"750,000"
2008,PERFORMING ARTS,"Theatre Communications Group, Inc.","New York, New York",To support services to the field,"250,000"
2008,PERFORMING ARTS,"Thin Man Dance, Inc.","New York, New York","To support artistic activities, organizational development, and the move to a new facility","65,000"
2008,PERFORMING ARTS,"3-Legged Dog, Inc.","New York, New York",To support artistic initiatives and organizational development,"400,000"
2008,PERFORMING ARTS,"3-Legged Dog, Inc.","New York, New York",To support the world premiere production of Fire Island,"50,000"
2008,PERFORMING ARTS,"Twin Lions, Inc","New York, New York",To support capacity-building for Free for All at Town Hall,"45,000"
2008,PERFORMING ARTS,University of California at Berkeley,"Berkeley, California","To support the experimental use of a prototypical ""tele-immersion system"" as part of a performance by the Merce Cunningham Dance Company","75,000"
2008,PERFORMING ARTS,Vanderbilt University,"Nashville, Tennessee",To support a convening of researchers and practitioners to inform and coordinate a set of diverse national Creative Campus initiatives,"44,200"
2008,PERFORMING ARTS,Virginia Polytechnic Institute and State University,"Blacksburg, Virginia",To support the administration of the Orchestra Forum by the Institute for Cultural Policy and Practice,"385,600"
2008,PERFORMING ARTS,"Washington Drama Society, Inc.","Washington, DC",To support a convening of arts practitioners to discuss the development and production of new musicals.,"10,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American Council of Learned Societies,"New York, New York",To support fellowships for collaborative scholarship in the humanities,"3,875,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,American School of Classical Studies at Athens,"Princeton, New Jersey",To support predoctoral fellowships and the core academic program,"1,000,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,"American University of Paris, Inc.","Paris, France",To support the operations of the American International Consortium of Libraries (AMICAL) and to fund JSTOR and ARTstor subscriptions for AMICAL member institutions,"420,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,"American University of Paris, Inc.","Paris, France",To support faculty career enhancement programs,"250,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,Amherst College,"Amherst, Massachusetts",To support additional research and related costs for an Emeritus Fellow,"3,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,Antioch University,"Yellow Springs, Ohio",To support the development of a plan to reopen Antioch College,"50,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,Appalachian College Association,"Berea, Kentucky",To support a partnership for undergraduate research with the University of North Carolina at Asheville,"500,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP                                                                   ,Appalachian College Association,"Berea, Kentucky",To support faculty career enhancement programs and expansion of the Central Library shared online catalog,"500,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,"Berea, Kentucky",To support an evaluation of the Association's member colleges' archives and special collections,"50,000"
2008,HIGHER EDUCATION AND SCHOLARSHIP,Appalachian College Association,"Berea, Kentucky",To support the development of open source software associated with the Learning Asset Management project,"50,000"
