year,category,recipient,location,grant_description,award_amt
2011,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support the launch of the Humanities Writ Large initiative,"6,000,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support international graduate education programs,"500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support a New Directions Fellowship,"350,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support planning for the future of the Consortium of Humanities Centers and Institutes,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support an Emeritus Fellowship,"55,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Five Colleges Incorporated,"Amherst, Massachusetts",To establish an endowment in support of administrative operations that serve academic programs,"1,500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Five Colleges Incorporated,"Amherst, Massachusetts",To support pilot projects bridging liberal arts and professional education and the use of digital humanities resources and innovative technology,"1,500,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Furman University,"Greenville, South Carolina",To support faculty positions for a fine arts initiative,"800,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Furman University,"Greenville, South Carolina",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,George Washington University,"Washington, DC",To support summer archival training institutes for graduate students in the humanities and humanistic social sciences,"285,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Graduate School and University Center,"New York, New York","To support a Sawyer Seminar on the Comparative Study of Cultures, entitled ""Democratic Citizenship and the Recognition of Cultural Differences""","174,400"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Graduate School and University Center,"New York, New York",To support an Emeritus Fellowship,"42,700"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Grinnell College,"Grinnell, Iowa",To support presidential initiatives,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Grinnell College,"Grinnell, Iowa",To support an Emeritus Fellowship,"25,500"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Hamilton College,"Clinton, New York",To support a research-based summer internship program for students in the digital humanities and to establish an endowment to support ongoing digital humanities initiatives,"150,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Hampshire College,"Amherst, Massachusetts",To support institutional and faculty renewal,"850,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support activities aimed at strengthening scholarship in art history at the Villa I Tatti,"593,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support initial editorial work on the Dictionary of Caribbean and Afro-Latin American Biography,"100,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support an Emeritus Fellowship,"55,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support an Emeritus Fellowship,"55,000"
2011,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support production and publication of the Mellon Mays Undergraduate Fellowship annual journal,"54,000"
