year,category,recipient,location,grant_description,award_amt
2012,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,"Brunswick, Maine",To support a program of cross-disciplinary instruction across the humanities,"675,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Bowdoin College,"Brunswick, Maine",To support the facilitation of an ongoing exchange program between MMUF programs at Bowdoin College and the University of the Witwatersrand in South Africa,"55,320"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Brandeis University,"Waltham, Massachusetts",To support doctoral students in the humanities,"1,800,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Brandeis University,"Waltham, Massachusetts","To support a Sawyer Seminar on the Comparative Study of Cultures entitled ""Rethinking the Age of Revolution: Rights, Representation, and the Global Imaginary""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cape Philharmonic Orchestra,"Cape Town, South Africa",To support the orchestra's outreach and education programs,"440,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Claremont McKenna College,"Claremont, California",To support internationalization of the curriculum and undergraduate research in the humanities,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Claremont University Consortium,"Claremont, California",To support planning for a center for the digital humanities,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Clark Atlanta University,"Atlanta, Georgia",To support the implementation of a student recruitment and enrollment management program,"325,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Clark University,"Worcester, Massachusetts",To support a curricular initiative that connects liberal education and effective practice,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Colby College,"Waterville, Maine",To support the development of a center for the arts and humanities,"750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Colby College,"Waterville, Maine",To support writing across the curriculum,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Colgate University,"Hamilton, New York",To support residential seminars that connect academic and co-curricular programs,"700,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Colgate University,"Hamilton, New York",To support integration of technology into the humanities curriculum,"50,600"
2012,HIGHER EDUCATION AND SCHOLARSHIP,College of the Holy Cross,"Worcester, Massachusetts",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,College of William and Mary,"Williamsburg, Virginia",To support curricular and faculty renewal,"770,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Colorado College,"Colorado Springs, Colorado",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York",To support internationalization of the undergraduate core curriculum through faculty renewal and coordinated use of the university's global resources,"2,100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York",To support instruction in the less commonly taught languages through videoconferencing,"1,200,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York",To support a New Directions Fellowship,"297,300"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York",To support participation in the Mellon Mays Undergraduate Fellowship program,"247,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Columbia University,"New York, New York","To support the planning of the participation of New York-based institutions in the international Theatrum Mundi initiative, which seeks to strengthen the cultural life of cities","63,450"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Connecticut College,"New London, Connecticut",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"435,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Connecticut College,"New London, Connecticut",To support curricular development in global Islamic studies,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Convergence,"Washington, DC",To support a postdoctoral fellow who serves the U.S.-Pakistan Leaders Forum project,"95,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cornell College,"Mount Vernon, Iowa",To support curricular development,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cornell College,"Mount Vernon, Iowa",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,"Ithaca, New York","To support an initiative at the intellectual and institutional intersection of architecture, urbanism, and the humanities","1,462,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,"Ithaca, New York",To support the Society for the Humanities,"1,330,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,"Ithaca, New York",To support research in higher education,"640,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Cornell University,"Ithaca, New York",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Council for European Studies,"New York, New York",To establish dissertation completion fellowships for graduate students in the humanities whose work focuses on topics in European studies,"650,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Council of Independent Colleges,"Washington, DC",To support substantial curricular revision and enhancement,"575,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Dartmouth College,"Hanover, New Hampshire",To support participation in the Mellon Mays Undergraduate Fellowship program,"247,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Dartmouth College,"Hanover, New Hampshire",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Davidson College,"Davidson, North Carolina",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Davidson College,"Davidson, North Carolina",To support planning for curricular and faculty development in digital studies and the humanities,"45,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Denison University,"Granville, Ohio",To support the creation of a writing program and the establishment of a tenure-track position in Arabic,"550,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Dickinson College,"Carlisle, Pennsylvania",To support faculty and curricular development in the digital humanities,"700,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Dillard University,"New Orleans, Louisiana","To support comprehensive revisions to its general education, honors, and international study programs","325,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support the development of collective projects by the Consortium of Humanities Centers and Institutes,"1,200,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Duke University,"Durham, North Carolina",To support transitional efforts in area studies programs that are adapting to reduced federal funding,"750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Earlham College,"Richmond, Indiana",To support a Middle Eastern studies program,"525,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Earlham College,"Richmond, Indiana",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Emory University,"Atlanta, Georgia",To support teaching fellowships for advanced graduatestudents in the humanities,"1,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Emory University,"Atlanta, Georgia",To support a New Directions Fellowship,"291,200"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Emory University,"Atlanta, Georgia","To support a Sawyer Seminar on the Comparative Study ofCultures entitled ""Visual Exegesis: Images as Instruments of Scriptural Interpretation and Hermeneutics""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,The Five Colleges of Ohio,"Gambier, Ohio",To support language pedagogy collaborations between liberal arts colleges and a research university,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Franklin & Marshall College,"Lancaster, Pennsylvania",To support planning for a faculty center for teaching and scholarship,"120,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Franklin & Marshall College,"Lancaster, Pennsylvania",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,French American Cultural Exchange,"New York, New York",To support a book and translation grant program for French Voices,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Gettysburg College,"Gettysburg, Pennsylvania",To support a program to strengthen and expand student-faculty collaborative research,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"Glimmerglass Opera, Inc.","Cooperstown, New York",To support the participation of six singers from the Cape Town Opera School in the Glimmerglass Young Artists Program,"22,400"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Graduate School and University Center,"New York, New York",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"Great Lakes Colleges Association, Inc.","Ann Arbor, Michigan","To support curricular enhancement, undergraduate research, and student-faculty scholarship","2,750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Greater Washington Educational Telecommunications,"Arlington, Virginia",To support the completion of an educational film on the Vietnam War,"1,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Grinnell College,"Grinnell, Iowa","To support interdisciplinary teaching, scholarship, and the expansion of Arabic language instruction","540,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Grinnell College,"Grinnell, Iowa",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"411,530"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Hampshire College,"Amherst, Massachusetts",To support language instruction in the humanities and sciences,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Hampshire College,"Amherst, Massachusetts",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support a university-wide humanities seminar under the auspices of the Mahindra Humanities Center,"775,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support the participation of ten scholars from the University of Cape Town in the Mandela Fellowship Program at the W. E. B. Du Bois Institute,"500,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts",To support a program that offers a secondary PhD field for doctoral candidates who wish to integrate multimedia production into their dissertation research,"315,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Harvard University,"Cambridge, Massachusetts","To support a Sawyer Seminar on the Comparative Study of Cultures entitled ""Hearing Modernity""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Heritage University,"Toppenish, Washington",To support participation in the Mellon Mays Undergraduate Fellowship program,"247,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Hobart and William Smith Colleges,"Geneva, New York",To support academic programming and educational effectiveness,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Howard University,"Washington, DC",To support the institutional renewal and reimagining of the university's Moorland-Spingarn Research Center,"300,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Illinois Wesleyan University,"Bloomington, Illinois",To support curricular development in the humanities,"300,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Indiana University,"Bloomington, Indiana",To support transitional efforts in area studies programs that are adapting to reduced federal funding,"750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Indiana University,"Bloomington, Indiana",To support a New Directions Fellowship,"299,900"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Institute for Advanced Study,"Princeton, New Jersey","To endow, by matching a one-to-one challenge grant from the Simons Foundation and the Charles and Lisa Simonyi Fund, the institute's visiting memberships for assistant professors in the School of Historical Studies","3,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Johns Hopkins University,"Baltimore, Maryland",To support a New Directions Fellowship,"192,400"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Johns Hopkins University,"Baltimore, Maryland","To support a Sawyer Seminar on the Comparative Study of Cultures entitled ""Capitalism in Transition/ Capitalism in Crisis""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Kalamazoo College,"Kalamazoo, Michigan",To support faculty development and curricular enhancements,"500,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Knox College,"Galesburg, Illinois",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Lafayette College,"Easton, Pennsylvania",To support a program to strengthen the internationalization of the curriculum and study abroad,"150,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Lake Forest College,"Lake Forest, Illinois",To support a program in Chinese language and literature,"366,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Lake Forest College,"Lake Forest, Illinois",To support academic and institutional planning,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Lehigh University,"Bethlehem, Pennsylvania",To support faculty renewal and global education,"680,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Lewis and Clark College,"Portland, Oregon",To support an interdisciplinary student-faculty research program in the arts and humanities,"700,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,The London School of Economics and Political Science,"London, United Kingdom","To support an initiative at the intellectual and institutional intersection of architecture, urbanism, and the humanities","900,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Macalester College,"St. Paul, Minnesota",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"354,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Macalester College,"St. Paul, Minnesota",To support opportunities for teaching and scholarship through development of the digital humanities,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Marlboro College,"Marlboro, Vermont",To support curricular planning connecting the arts and humanities,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,"Cambridge, Massachusetts","To support collaborative research and education at the intersections of art, humanities, science, and technology","1,500,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Massachusetts Institute of Technology,"Cambridge, Massachusetts",To support postdoctoral fellowships in the humanities,"1,200,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,McGill University,"Montreal, Canada",To support a New Directions Fellowship,"110,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Middlebury College,"Middlebury, Vermont",To support faculty development and diversity at liberal arts colleges and research universities,"4,700,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Mills College,"Oakland, California",To support the integration of the visual arts in teaching across the humanities and human sciences,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Modern Language Association of America,"New York, New York",To explore non-academic employment opportunities for humanities PhDs,"85,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,National Humanities Center,"Research Triangle Park, North Carolina",To endow fellowships,"2,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,National Humanities Center,"Research Triangle Park, North Carolina",To augment fellowship stipends,"300,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,The New School,"New York, New York",To support presidential initiatives,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,New York University,"New York, New York","To support a Sawyer Seminar on the Comparative Study of Cultures entitled ""A Post-Genomic Embrace of the Human: The Social Science and Humanities of Non-Reductionist Life Sciences""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,New York University,"New York, New York",To support planning for the intellectual shape and programming of a new ballet institute,"91,522"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Newberry Library,"Chicago, Illinois","To support summer training programs in manuscript studies, paleography, and related disciplines","600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Newberry Library,"Chicago, Illinois",To support a review of the Newberry Library's four research centers,"49,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,New-York Historical Society,"New York, New York",To support residential fellowships for early career scholars,"484,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,"Evanston, Illinois",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"388,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Northwestern University,"Evanston, Illinois",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Occidental College,"Los Angeles, California",To support interdisciplinary innovations in the general education curriculum,"750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,To support a Sawyer Seminar on the Comparative,Human Expression in South Asia and the Balkans,"Comparative Perspectives""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Ohio Wesleyan University,"Delaware, Ohio",To support a program of curricular renewal,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Pitzer College,"Claremont, California",To support interdisciplinary programs in art and the environment,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Pomona College,"Claremont, California",To support curricular and cultural collaboration between the Pomona College Museum of Art and the college's academic program,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Pontifical Institute of Mediaeval Studies,"Toronto, Canada","To support summer training programs in manuscript studies, paleography, and related disciplines","400,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,"Princeton, New Jersey",To support the establishment of fellowships in the Society of Fellows in the Arts,"3,300,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,"Princeton, New Jersey",To support participation in the Mellon Mays Undergraduate Fellowship program,"247,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Princeton University,"Princeton, New Jersey",To support a New Directions Fellowship,"203,100"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Rhodes University,"Grahamstown, South Africa",To support a humanities unit,"950,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Rhodes University,"Grahamstown, South Africa",To support residency programs for visiting writers and scholars,"65,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Rice University,"Houston, Texas",To support a permanent endowment for graduate research seminars,"1,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Rice University,"Houston, Texas",To support a New Directions Fellowship,"173,700"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Robert W. Woodruff Library of the,"Atlanta, Georgia",To renew support for a center for technology and teaching serving the Atlanta University Center institutions,"150,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Rollins College,"Winter Park, Florida",To support curricular and faculty development,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Scripps College,"Claremont, California","To support undergraduate research opportunities in the arts, humanities, and human sciences","700,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Skidmore College,"Saratoga Springs, New York","To support interdisciplinary collaborations that integrate the arts, humanities, sciences, and technology","60,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To support a program of postdoctoral fellowships for transregional studies,"1,100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To support the administration of the Social Science Research Council Predoctoral Grants program for Mellon Mays graduate students,"1,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Social Science Research Council,"Brooklyn, New York",To support the planning of a research initiative on cities,"100,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Southwestern University,"Georgetown, Texas",To support initiatives of the National Institute for Technology in Liberal Education (NITLE) that integrate digital methods and resources into humanities teaching and scholarship,"800,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Southwestern University,"Georgetown, Texas",To support initiatives of NITLE in information services and global cultural resources at liberal arts colleges,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Southwestern University,"Georgetown, Texas","To support undergraduate research, civic engagement, and intercultural learning","500,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Southwestern University,"Georgetown, Texas",To support the integration of business and the liberal arts and the establishment of a unified library and information services division,"250,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Spelman College,"Atlanta, Georgia",To support the implementation of an undergraduate research program as part of comprehensive curricular reform,"325,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,St. John's College,"Annapolis, Maryland",To support programs for faculty enrichment and curriculum development,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,St. John's College,"Santa Fe, New Mexico",To support integration of the classic works of Middle Eastern culture into the curriculum,"150,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,St. Lawrence University,"Canton, New York","To support development of an interdisciplinary, international curriculum and engaged student learning","700,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,St. Mary's College of Maryland,"St. Mary's City, Maryland",To support the integration of civic engagement and service learning opportunities into the humanities curriculum,"200,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,St. Olaf College,"Northfield, Minnesota",To support cross-institutional administrative and academic collaboration with Carleton College,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Stanford University,"Stanford, California",To support a New Directions Fellowship,"254,900"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Stellenbosch University,"Matieland, South Africa",To support the development of the next generation of academics in the humanities and social sciences,"200,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Swarthmore College,"Swarthmore, Pennsylvania",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Tougaloo College,"Tougaloo, Mississippi",To support the implementation phase of a Global Leadership Curriculum,"325,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,Trinity University,"San Antonio, Texas",To support student-faculty collaborative research in the arts and humanities,"600,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,"United Negro College Fund, Inc.","Washington, DC",To support the UNCF/MMUF 2012 Summer Institute,"37,250"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University College London,"London, United Kingdom",To support postdoctoral fellowships in the humanities and related social sciences,"800,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California","To support an initiative at the intellectual and institutional intersection of architecture, urbanism, and the humanities","1,750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support an initiative aimed at strengthening the integration of the arts into academic life,"760,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support transitional efforts in area studies programs that are adapting to reduced federal funding,"750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"481,500"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Berkeley,"Berkeley, California",To support research and training activities for graduate students,"400,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Irvine,"Irvine, California",To support ongoing scholarly activities by a former New Directions Fellowship recipient,"50,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California","To support an initiative at the intellectual and institutional intersection of architecture, urbanism, and the humanities","2,000,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support transitional efforts in area studies programs that are adapting to reduced federal funding,"750,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support a New Directions Fellowship,"225,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Los Angeles,"Los Angeles, California",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"213,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of California at Santa Barbara,"Santa Barbara, California","To support a Sawyer Seminar on the Comparative Study of Cultures entitled ""Sea Change: Integrating the Historical Study of Human Cultures and Marine Environments in Three Pacific Regions""","175,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support research projects of emerging and midcareer scholars in the humanities and social sciences,"950,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support the establishment of two research chairs in the faculty of humanities,"950,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support the renewal of a regional leadership program for South African members of the Mellon Mays Undergraduate Fellowship program,"370,200"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa","To support master's, doctoral, and postdoctoral students in the Centre for Rhetoric Studies","320,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support the securing of accurate statistical data in South Africaand improved access to data in countries throughout Africa,"300,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support renewed participation in the Mellon Mays Undergraduate Fellowship program,"285,280"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support teaching with technology grants in the humanities at the Centre for Educational Technology,"285,000"
2012,HIGHER EDUCATION AND SCHOLARSHIP,University of Cape Town,"Cape Town, South Africa",To support a creative writing program,"65,000"
